id;documento
1;"Eu não tinha este rosto de hoje,
Assim calmo, assim triste, assim magro,
Nem estes olhos tão vazios,
Nem o lábio amargo.

Eu não tinha estas mãos sem força,
Tão paradas e frias e mortas;
Eu não tinha este coração
Que nem se mostra.

Eu não dei por esta mudança,
Tão simples, tão certa, tão fácil:
- Em que espelho ficou perdida
A minha face?"
2;"Para ser grande, sê inteiro: nada
Teu exagera ou exclui.
Sê todo em cada coisa. Põe quanto és
No mínimo que fazes.
Assim em cada lago a lua toda
Brilha, porque alta vive."
3;"Eu sei que a gente se acostuma. Mas não devia.
A gente se acostuma a morar em apartamento de fundos 
e a não ter outra vista que não seja as janelas ao redor. 

E porque não tem vista, logo se acostuma a não olhar para fora.
E porque não olha para fora logo se acostuma a não abrir de todo as cortinas.
E porque não abre as cortinas logo se acostuma acender mais cedo a luz.
E a medida que se acostuma, esquece o sol, esquece o ar, esquece a amplidão.

A gente se acostuma a acordar de manhã sobressaltado porque está na hora.
A tomar café correndo porque está atrasado.
A ler jornal no ônibus porque não pode perder tempo da viagem.
A comer sanduíche porque não dá pra almoçar.
A sair do trabalho porque já é noite.
A cochilar no ônibus porque está cansado.
A deitar cedo e dormir pesado sem ter vivido o dia.

A gente se acostuma a abrir o jornal e a ler sobre a guerra.
E aceitando a guerra, aceita os mortos e que haja número para os mortos.
E aceitando os números aceita não acreditar nas negociações de paz,
aceita ler todo dia da guerra, dos números, da longa duração.

A gente se acostuma a esperar o dia inteiro e ouvir no telefone: hoje não posso ir.
A sorrir para as pessoas sem receber um sorriso de volta.
A ser ignorado quando precisava tanto ser visto.
A gente se acostuma a pagar por tudo o que deseja e o de que necessita.
A lutar para ganhar o dinheiro com que pagar.

E a ganhar menos do que precisa.
E a fazer filas para pagar.
E a pagar mais do que as coisas valem.
E a saber que cada vez pagará mais.
E a procurar mais trabalho, para ganhar mais dinheiro, para ter com que pagar nas filas que se cobra.

A gente se acostuma a andar na rua e a ver cartazes.
A abrir as revistas e a ver anúncios.
A ligar a televisão e a ver comerciais.
A ir ao cinema e engolir publicidade.
A ser instigado, conduzido, desnorteado, lançado na infindável catarata dos produtos.
A gente se acostuma à poluição.

As salas fechadas de ar condicionado e cheiro de cigarro.
A luz artificial de ligeiro tremor.
Ao choque que os olhos levam na luz natural.
Às bactérias da água potável.
A contaminação da água do mar.
A lenta morte dos rios.

Se acostuma a não ouvir o passarinho, a não ter galo de madrugada, a temer a hidrofobia dos cães,
a não colher fruta no pé, a não ter sequer uma planta.
A gente se acostuma a coisas demais para não sofrer.

Em doses pequenas, tentando não perceber, vai se afastando uma dor aqui,
um ressentimento ali, uma revolta acolá.
Se o cinema está cheio a gente senta na primeira fila e torce um pouco o pescoço.
Se a praia está contaminada a gente só molha os pés e sua no resto do corpo.

Se o trabalho está duro, a gente se consola pensando no fim de semana.
E se no fim de semana não há muito o que fazer a gente vai dormir cedo
e ainda fica satisfeito porque tem sempre sono atrasado.

A gente se acostuma para não se ralar na aspereza, para preservar a pele.
Se acostuma para evitar feridas, sangramentos, para esquivar-se
da faca e da baioneta, para poupar o peito.
A gente se acostuma para poupar a vida que aos poucos se gasta e, que gasta,
de tanto acostumar, se perde de si mesma.
"
4;"João amava Teresa que amava Raimundo
que amava Maria que amava Joaquim que amava Lili
que não amava ninguém.
João foi para os Estados Unidos, Teresa para o convento,
Raimundo morreu de desastre, Maria ficou pra tia,
Joaquim suicidou-se e Lili casou com J. Pinto Fernandes
que não tinha entrado na história."
5;"É urgente o amor.
É urgente um barco no mar.

É urgente destruir certas palavras,
ódio, solidão e crueldade,
alguns lamentos,
muitas espadas.

É urgente inventar alegria,
multiplicar os beijos, as searas,
é urgente descobrir rosas e rios
e manhãs claras.

Cai o silêncio nos ombros e a luz
impura, até doer.
É urgente o amor, é urgente
permanecer."
6;"Não precisa ser homem, basta ser humano, basta ter sentimentos, basta ter coração. Precisa saber falar e calar, sobretudo saber ouvir. Tem que gostar de poesia, de madrugada, de pássaro, de sol, da lua, do canto, dos ventos e das canções da brisa. Deve ter amor, um grande amor por alguém, ou então sentir falta de não ter esse amor.. Deve amar o próximo e respeitar a dor que os passantes levam consigo. Deve guardar segredo sem se sacrificar.

     Não é preciso que seja de primeira mão, nem é imprescindível que seja de segunda mão. Pode já ter sido enganado, pois todos os amigos são enganados. Não é preciso que seja puro, nem que seja todo impuro, mas não deve ser vulgar. Deve ter um ideal e medo de perdê-lo e, no caso de assim não ser, deve sentir o grande vácuo que isso deixa. Tem que ter ressonâncias humanas, seu principal objetivo deve ser o de amigo. Deve sentir pena das pessoa tristes e compreender o imenso vazio dos solitários. Deve gostar de crianças e lastimar as que não puderam nascer.

     Procura-se um amigo para gostar dos mesmos gostos, que se comova, quando chamado de amigo. Que saiba conversar de coisas simples, de orvalhos, de grandes chuvas e das recordações de infância. Precisa-se de um amigo para não se enlouquecer, para contar o que se viu de belo e triste durante o dia, dos anseios e das realizações, dos sonhos e da realidade. Deve gostar de ruas desertas, de poças de água e de caminhos molhados, de beira de estrada, de mato depois da chuva, de se deitar no capim.

     Precisa-se de um amigo que diga que vale a pena viver, não porque a vida é bela, mas porque já se tem um amigo. Precisa-se de um amigo para se parar de chorar. Para não se viver debruçado no passado em busca de memórias perdidas. Que nos bata nos ombros sorrindo ou chorando, mas que nos chame de amigo, para ter-se a consciência de que ainda se vive."
7;"Ó mar salgado, quanto do teu sal
São lágrimas de Portugal!
Por te cruzarmos, quantas mães choraram,
Quantos filhos em vão rezaram!
Quantas noivas ficaram por casar
Para que fosses nosso, ó mar! 

Valeu a pena? Tudo vale a pena
Se a alma não é pequena.
Quem quer passar além do Bojador
Tem que passar além da dor.
Deus ao mar o perigo e o abismo deu,
Mas nele é que espelhou o céu."
8;"Eu sei e você sabe
Já que a vida quis assim
Que nada nesse mundo levará você de mim
Eu sei e você sabe
Que a distância não existe
Que todo grande amor
Só é bem grande se for triste
Por isso meu amor
Não tenha medo de sofrer
Que todos os caminhos
Me encaminham a você.

Assim como o Oceano, só é belo com o luar
Assim como a Canção, só tem razão se se cantar
Assim como uma nuvem, só acontece se chover
Assim como o poeta, só é bem grande se sofrer
Assim como viver sem ter amor, não é viver
Não há você sem mim
E eu não existo sem você!"
9;"Como se ama o silêncio, a luz, o aroma,
O orvalho numa flor, nos céus a estrela,
No largo mar a sombra de uma vela,
Que lá na extrema do horizonte assoma;

Como se ama o clarão da branca lua,
Da noite na mudez os sons da flauta,
As canções saudosíssimas do nauta,
Quando em mole vaivém a nau flutua,

Como se ama das aves o gemido,
Da noite as sombras e do dia as cores,
Um céu com luzes, um jardim com flores,
Um canto quase em lágrimas sumido;

Como se ama o crepúsculo da aurora,
A mansa viração que o bosque ondeia,
O sussurro da fonte que serpeia,
Uma imagem risonha e sedutora;

Como se ama o calor e a luz querida,
A harmonia, o frescor, os sons, os céus,
Silêncio, e cores, e perfume, e vida,
Os pais e a pátria e a virtude e a Deus:

Assim eu te amo, assim; mais do que podem
Dizer-to os lábios meus, - mais do que vale
Cantar a voz do trovador cansada:
O que é belo, o que é justo, santo e grande
Amo em ti. - Por tudo quanto sofro,
Por quanto já sofri, por quanto ainda
Me resta de sofrer, por tudo eu te amo.
O que espero, cobiço, almejo, ou temo
De ti, só de ti pende: oh! nunca saibas
Com quanto amor eu te amo, e de que fonte
Tão terna, quanto amarga o vou nutrindo!
Esta oculta paixão, que mal suspeitas,
Que não vês, não supões, nem te eu revelo,
Só pode no silêncio achar consolo,
Na dor aumento, intérprete nas lágrimas.

De mim não saberás como te adoro;
Não te direi jamais,
Se te amo, e como, e a quanto extremo chega
Esta paixão voraz!

Se andas, sou o eco dos teus passos;
Da tua voz, se falas;
o murmúrio saudoso que responde
Ao suspiro que exalas.

No odor dos teus perfumes te procuro,
Tuas pegadas sigo;
Velo teus dias, te acompanho sempre,
E não me vês contigo!

Oculto e ignorado me desvelo
Por ti, que me não vês;
Aliso o teu caminho, esparjo flores,
Onde pisam teus pés.
Mesmo lendo estes versos, que m'inspiras,
- ""Não pensa em mim"", dirás:
Imagina-o, se o podes, que os meus lábios
Não to dirão jamais!

Sim, eu te amo; porém nunca
Saberás do meu amor;
A minha canção singela
Traiçoeira não revela
O prêmio santo que anela
O sofrer do trovador!

Sim, eu te amo; porém nunca
Dos lábios meus saberás,
Que é fundo como a desgraça,
Que o pranto não adelgaça,
Leve, qual sombra que passa,
Ou como um sonho fugaz!

Aos meus lábios, aos meus olhos
Do silêncio imponho a lei;
Mas lá onde a dor se esquece,
Onde a luz nunca falece,
Onde o prazer sempre cresce,
Lá saberás se te amei!

E então dirás: Objeto
Fui de santo e puro amor:
A sua canção singela;
Tudo agora me revela;
Já sei o prêmio que anela
O sofrer do trovador.

""Amou-me como se ama a luz querida,
Como se ama o silêncio, os sons, os céus,
Qual se amam cores e perfume e vida,
Os pais e a pátria, e a virtude e a Deus!""
"
10;João Gostoso era carregador de feira livre e morava no morro da Babilônia num barracão sem número Uma noite ele chegou no bar Vinte de Novembro Bebeu Cantou Dançou Depois se atirou na lagoa Rodrigo de Freitas e morreu afogado.
11;"Porque os outros se mascaram mas tu não
Porque os outros usam a virtude 
Para comprar o que não tem perdão. 
Porque os outros têm medo mas tu não. 
Porque os outros são os túmulos caiados
Onde germina calada a podridão.
Porque os outros se calam mas tu não.

Porque os outros se compram e se vendem
E os seus gestos dão sempre dividendo.
Porque os outros são hábeis mas tu não. 

Porque os outros vão à sombra dos abrigos
E tu vais de mãos dadas com os perigos. 
Porque os outros calculam mas tu não."
12;"De palavra em palavra
a noite sobe
aos ramos mais altos

e canta
o êxtase do dia."
13;"meu amor se esparrama na grama
Meu amor se esparrama na cama
meu amor se espreguiça
meu amor deita e rola no planeta.

"
