id;sentencas;documento
1;"['Eu não tinha este rosto de hoje, Assim calmo, assim triste, assim magro, Nem estes olhos tão vazios, Nem o lábio amargo.', 'Eu não tinha estas mãos sem força, Tão paradas e frias e mortas;', 'Eu não tinha este coração Que nem se mostra.', 'Eu não dei por esta mudança, Tão simples, tão certa, tão fácil: -', 'Em que espelho ficou perdida', 'A minha face?']";"Eu não tinha este rosto de hoje, Assim calmo, assim triste, assim magro, Nem estes olhos tão vazios, Nem o lábio amargo. Eu não tinha estas mãos sem força, Tão paradas e frias e mortas; Eu não tinha este coração Que nem se mostra. Eu não dei por esta mudança, Tão simples, tão certa, tão fácil: - Em que espelho ficou perdida A minha face?"
2;['Para ser grande, sê inteiro:', 'nada', 'Teu exagera ou exclui.', 'Sê todo em cada coisa.', 'Põe quanto és', 'No mínimo que fazes.', 'Assim em cada lago a lua toda Brilha, porque alta vive.'];Para ser grande, sê inteiro: nada Teu exagera ou exclui. Sê todo em cada coisa. Põe quanto és No mínimo que fazes. Assim em cada lago a lua toda Brilha, porque alta vive.
4;['João amava Teresa que amava Raimundo que amava Maria que amava Joaquim que amava Lili que não amava ninguém.', 'João foi para os Estados Unidos, Teresa para o convento, Raimundo morreu de desastre, Maria ficou pra tia, Joaquim suicidou-se e Lili casou com J. Pinto Fernandes que não tinha entrado na história.'];João amava Teresa que amava Raimundo que amava Maria que amava Joaquim que amava Lili que não amava ninguém. João foi para os Estados Unidos, Teresa para o convento, Raimundo morreu de desastre, Maria ficou pra tia, Joaquim suicidou-se e Lili casou com J. Pinto Fernandes que não tinha entrado na história.
5;['É urgente o amor.', 'É urgente um barco no mar.', 'É urgente destruir certas palavras, ódio, solidão e crueldade, alguns lamentos, muitas espadas.', 'É urgente inventar alegria, multiplicar os beijos, as searas, é urgente descobrir rosas e rios e manhãs claras.', 'Cai o silêncio nos ombros e a luz impura, até doer.', 'É urgente o amor, é urgente permanecer.'];É urgente o amor. É urgente um barco no mar. É urgente destruir certas palavras, ódio, solidão e crueldade, alguns lamentos, muitas espadas. É urgente inventar alegria, multiplicar os beijos, as searas, é urgente descobrir rosas e rios e manhãs claras. Cai o silêncio nos ombros e a luz impura, até doer. É urgente o amor, é urgente permanecer.
6;['Não precisa ser homem, basta ser humano, basta ter sentimentos, basta ter coração.', 'Precisa saber falar e calar, sobretudo saber ouvir.', 'Tem que gostar de poesia, de madrugada, de pássaro, de sol, da lua, do canto, dos ventos e das canções da brisa.', 'Deve ter amor, um grande amor por alguém, ou então sentir falta de não ter esse amor..', 'Deve amar o próximo e respeitar a dor que os passantes levam consigo.', 'Deve guardar segredo sem se sacrificar.', 'Não é preciso que seja de primeira mão, nem é imprescindível que seja de segunda mão.', 'Pode já ter sido enganado, pois todos os amigos são enganados.', 'Não é preciso que seja puro, nem que seja todo impuro, mas não deve ser vulgar.', 'Deve ter um ideal e medo de perdê-lo e, no caso de assim não ser, deve sentir o grande vácuo que isso deixa.', 'Tem que ter ressonâncias humanas, seu principal objetivo deve ser o de amigo.', 'Deve sentir pena das pessoa tristes e compreender o imenso vazio dos solitários.', 'Deve gostar de crianças e lastimar as que não puderam nascer.', 'Procura-se um amigo para gostar dos mesmos gostos, que se comova, quando chamado de amigo.', 'Que saiba conversar de coisas simples, de orvalhos, de grandes chuvas e das recordações de infância.', 'Precisa-se de um amigo para não se enlouquecer, para contar o que se viu de belo e triste durante o dia, dos anseios e das realizações, dos sonhos e da realidade.', 'Deve gostar de ruas desertas, de poças de água e de caminhos molhados, de beira de estrada, de mato depois da chuva, de se deitar no capim.', 'Precisa-se de um amigo que diga que vale a pena viver, não porque a vida é bela, mas porque já se tem um amigo.', 'Precisa-se de um amigo para se parar de chorar.', 'Para não se viver debruçado no passado em busca de memórias perdidas.', 'Que nos bata nos ombros sorrindo ou chorando, mas que nos chame de amigo, para ter-se a consciência de que ainda se vive.'];Não precisa ser homem, basta ser humano, basta ter sentimentos, basta ter coração. Precisa saber falar e calar, sobretudo saber ouvir. Tem que gostar de poesia, de madrugada, de pássaro, de sol, da lua, do canto, dos ventos e das canções da brisa. Deve ter amor, um grande amor por alguém, ou então sentir falta de não ter esse amor.. Deve amar o próximo e respeitar a dor que os passantes levam consigo. Deve guardar segredo sem se sacrificar. Não é preciso que seja de primeira mão, nem é imprescindível que seja de segunda mão. Pode já ter sido enganado, pois todos os amigos são enganados. Não é preciso que seja puro, nem que seja todo impuro, mas não deve ser vulgar. Deve ter um ideal e medo de perdê-lo e, no caso de assim não ser, deve sentir o grande vácuo que isso deixa. Tem que ter ressonâncias humanas, seu principal objetivo deve ser o de amigo. Deve sentir pena das pessoa tristes e compreender o imenso vazio dos solitários. Deve gostar de crianças e lastimar as que não puderam nascer. Procura-se um amigo para gostar dos mesmos gostos, que se comova, quando chamado de amigo. Que saiba conversar de coisas simples, de orvalhos, de grandes chuvas e das recordações de infância. Precisa-se de um amigo para não se enlouquecer, para contar o que se viu de belo e triste durante o dia, dos anseios e das realizações, dos sonhos e da realidade. Deve gostar de ruas desertas, de poças de água e de caminhos molhados, de beira de estrada, de mato depois da chuva, de se deitar no capim. Precisa-se de um amigo que diga que vale a pena viver, não porque a vida é bela, mas porque já se tem um amigo. Precisa-se de um amigo para se parar de chorar. Para não se viver debruçado no passado em busca de memórias perdidas. Que nos bata nos ombros sorrindo ou chorando, mas que nos chame de amigo, para ter-se a consciência de que ainda se vive.
7;['Ó mar salgado, quanto do teu sal São lágrimas de Portugal!', 'Por te cruzarmos, quantas mães choraram, Quantos filhos em vão rezaram!', 'Quantas noivas ficaram por casar Para que fosses nosso, ó mar!', 'Valeu a pena?', 'Tudo vale a pena', 'Se a alma não é pequena.', 'Quem quer passar além do Bojador Tem que passar além da dor.', 'Deus ao mar o perigo e o abismo deu, Mas nele é que espelhou o céu.'];Ó mar salgado, quanto do teu sal São lágrimas de Portugal! Por te cruzarmos, quantas mães choraram, Quantos filhos em vão rezaram! Quantas noivas ficaram por casar Para que fosses nosso, ó mar! Valeu a pena? Tudo vale a pena Se a alma não é pequena. Quem quer passar além do Bojador Tem que passar além da dor. Deus ao mar o perigo e o abismo deu, Mas nele é que espelhou o céu.
8;['Eu sei e você sabe Já que a vida quis assim Que nada nesse mundo levará você de mim', 'Eu sei e você sabe Que a distância não existe Que todo grande amor', 'Só é bem grande se for triste Por isso', 'meu amor Não tenha medo de sofrer Que todos os caminhos Me encaminham a você.', 'Assim como o Oceano, só é belo com o luar', 'Assim como a Canção, só tem razão se se cantar Assim como uma nuvem, só acontece se chover Assim como o poeta, só é bem grande se sofrer Assim como viver sem ter amor, não é viver Não há você sem mim', 'E eu não existo sem você!'];Eu sei e você sabe Já que a vida quis assim Que nada nesse mundo levará você de mim Eu sei e você sabe Que a distância não existe Que todo grande amor Só é bem grande se for triste Por isso meu amor Não tenha medo de sofrer Que todos os caminhos Me encaminham a você. Assim como o Oceano, só é belo com o luar Assim como a Canção, só tem razão se se cantar Assim como uma nuvem, só acontece se chover Assim como o poeta, só é bem grande se sofrer Assim como viver sem ter amor, não é viver Não há você sem mim E eu não existo sem você!
10;['João Gostoso era carregador de feira livre e morava no morro da Babilônia num barracão sem número', 'Uma noite ele chegou no bar Vinte de Novembro', 'Bebeu', 'Cantou Dançou Depois se atirou na lagoa', 'Rodrigo de Freitas e morreu afogado.'];João Gostoso era carregador de feira livre e morava no morro da Babilônia num barracão sem número Uma noite ele chegou no bar Vinte de Novembro Bebeu Cantou Dançou Depois se atirou na lagoa Rodrigo de Freitas e morreu afogado.
11;['Porque os outros se mascaram mas tu não Porque os outros usam a virtude Para comprar o que não tem perdão.', 'Porque os outros têm medo mas tu não.', 'Porque os outros são os túmulos caiados Onde germina calada a podridão.', 'Porque os outros se calam mas tu não.', 'Porque os outros se compram e se vendem E os seus gestos dão sempre dividendo.', 'Porque os outros são hábeis mas tu não.', 'Porque os outros vão à sombra dos abrigos E tu vais de mãos dadas com os perigos.', 'Porque os outros calculam mas tu não.'];Porque os outros se mascaram mas tu não Porque os outros usam a virtude Para comprar o que não tem perdão. Porque os outros têm medo mas tu não. Porque os outros são os túmulos caiados Onde germina calada a podridão. Porque os outros se calam mas tu não. Porque os outros se compram e se vendem E os seus gestos dão sempre dividendo. Porque os outros são hábeis mas tu não. Porque os outros vão à sombra dos abrigos E tu vais de mãos dadas com os perigos. Porque os outros calculam mas tu não.
12;['De palavra em palavra a noite sobe aos ramos mais altos e canta o êxtase do dia.'];De palavra em palavra a noite sobe aos ramos mais altos e canta o êxtase do dia.
