id;ner_documento
1;[[0, []], [1, [['Tão paradas e frias e mortas', 'MISC', 35, 63]]], [2, []], [3, [['Tão', 'LOC', 29, 32]]], [4, []], [5, []]]
2;[[0, []], [1, []], [2, []], [3, []], [4, []], [5, []], [6, [['Brilha', 'LOC', 30, 36]]]]
4;[[0, [['João', 'PER', 0, 4], ['Teresa', 'PER', 11, 17], ['Raimundo', 'PER', 28, 36], ['Maria', 'PER', 47, 52], ['Joaquim', 'PER', 63, 70], ['Lili', 'MISC', 81, 85]]], [1, [['João', 'PER', 0, 4], ['Estados Unidos', 'LOC', 17, 31], ['Teresa', 'PER', 33, 39], ['Raimundo', 'PER', 57, 65], ['Maria', 'PER', 86, 91], ['Joaquim', 'PER', 107, 114], ['Lili', 'PER', 129, 133], ['J. Pinto Fernandes', 'PER', 144, 162]]]]
5;[[0, []], [1, []], [2, []], [3, []], [4, []], [5, []]]
6;[[0, []], [1, []], [2, [['lua', 'LOC', 63, 66]]], [3, []], [4, []], [5, []], [6, []], [7, []], [8, []], [9, []], [10, []], [11, []], [12, []], [13, []], [14, []], [15, []], [16, []], [17, []], [18, []], [19, []], [20, []]]
7;[[0, [['Portugal', 'LOC', 49, 57]]], [1, []], [2, []], [3, [['Valeu', 'LOC', 0, 5]]], [4, []], [5, []], [6, [['Bojador', 'LOC', 25, 32]]], [7, []]]
8;[[0, []], [1, []], [2, []], [3, [['Me', 'MISC', 56, 58]]], [4, [['Oceano', 'LOC', 13, 19]]], [5, [['Canção', 'MISC', 13, 19]]], [6, []]]
10;[[0, [['João Gostoso', 'LOC', 0, 12], ['Babilônia', 'LOC', 64, 73]]], [1, [['Vinte de Novembro', 'MISC', 28, 45]]], [2, [['Bebeu', 'PER', 0, 5]]], [3, []], [4, [['Rodrigo de Freitas', 'PER', 0, 18]]]]
11;[[0, []], [1, []], [2, []], [3, []], [4, []], [5, []], [6, []], [7, []]]
12;[[0, []]]
13;[[0, []], [1, []]]
14;[[0, []], [1, []], [2, []], [3, []], [4, []], [5, []], [6, []], [7, []], [8, []], [9, []], [10, []], [11, []], [12, [['Marimbondos', 'LOC', 0, 11], ['Lope de Vega', 'PER', 49, 61]]], [13, []], [14, []], [15, []], [16, []], [17, []]]
15;[[0, []], [1, []], [2, [['Novo', 'PER', 49, 53]]], [3, []], [4, []], [5, []], [6, []], [7, []]]
16;[[0, []], [1, []], [2, []], [3, []], [4, []], [5, []]]
